"Email","PhoneNumber","FirstName","Minit","LastName","DateOfBirth","ProfilePicture"
"user1@example.com","555-0001","User1","A","Last1","1990-01-01",""
"user2@example.com","555-0002","User2","A","Last2","1990-01-01",""
"user3@example.com","555-0003","User3","A","Last3","1990-01-01",""
"user4@example.com","555-0004","User4","A","Last4","1990-01-01",""
"user5@example.com","555-0005","User5","A","Last5","1990-01-01",""
"user6@example.com","555-0006","User6","A","Last6","1990-01-01",""
"user7@example.com","555-0007","User7","A","Last7","1990-01-01",""
"user8@example.com","555-0008","User8","A","Last8","1990-01-01",""
"user9@example.com","555-0009","User9","A","Last9","1990-01-01",""
"user10@example.com","555-00010","User10","A","Last10","1990-01-01",""
